123; 1; 1; 1; 1; 5; 5000; 
123; 2; 2; 2; 2; 8; 8000; 
123; 3; 3; 3; 3; 3; 3500; 
567; 6; 1; 1; 1; 5; 3215; 
567; 4; 2; 2; 2; 8; 6542; 
567; 4; 3; 3; 3; 3; 9878; 
123; 1; 1; 1; 1; 5; 5000; 
123; 2; 2; 2; 2; 8; 8000; 
123; 3; 3; 3; 3; 3; 3500; 
567; 6; 1; 1; 1; 5; 3215; 
567; 4; 2; 2; 2; 8; 6542; 
567; 4; 3; 3; 3; 3; 9878; 
123; 1; 1; 1; 1; 5; 5000; 
123; 2; 2; 2; 2; 8; 8000; 
123; 3; 3; 3; 3; 3; 3500; 
567; 6; 1; 1; 1; 5; 3215; 
567; 4; 2; 2; 2; 8; 6542; 
567; 4; 3; 3; 3; 3; 9878; 
123; 1; 1; 1; 1; 5; 5000; 
123; 2; 2; 2; 2; 8; 8000; 
123; 3; 3; 3; 3; 3; 3500; 
567; 6; 1; 1; 1; 5; 3215; 
567; 4; 2; 2; 2; 8; 6542; 
567; 4; 3; 3; 3; 3; 9878; 
123; 1; 1; 1; 1; 5; 5000; 
123; 2; 2; 2; 2; 8; 8000; 
123; 3; 3; 3; 3; 3; 3500; 
567; 6; 1; 1; 1; 5; 3215; 
567; 4; 2; 2; 2; 8; 6542; 
567; 4; 3; 3; 3; 3; 9878; 
123; 1; 1; 1; 1; 5; 5000; 
123; 2; 2; 2; 2; 8; 8000; 
123; 3; 3; 3; 3; 3; 3500; 
567; 6; 1; 1; 1; 5; 3215; 
567; 4; 2; 2; 2; 8; 6542; 
567; 4; 3; 3; 3; 3; 9878; 
123; 1; 1; 1; 1; 5; 5000; 
123; 2; 2; 2; 2; 8; 8000; 
123; 3; 3; 3; 3; 3; 3500; 
567; 6; 1; 1; 1; 5; 3215; 
567; 4; 2; 2; 2; 8; 6542; 
567; 4; 3; 3; 3; 3; 9878; 
123; 1; 1; 1; 1; 5; 5000; 
123; 2; 2; 2; 2; 8; 8000; 
123; 3; 3; 3; 3; 3; 3500; 
567; 6; 1; 1; 1; 5; 3215; 
567; 4; 2; 2; 2; 8; 6542; 
567; 4; 3; 3; 3; 3; 9878; 
123; 1; 1; 1; 1; 5; 5000; 
123; 2; 2; 2; 2; 8; 8000; 
123; 3; 3; 3; 3; 3; 3500; 
567; 6; 1; 1; 1; 5; 3215; 
567; 4; 2; 2; 2; 8; 6542; 
567; 4; 3; 3; 3; 3; 9878; 
123; 1; 1; 1; 1; 5; 5000; 
123; 2; 2; 2; 2; 8; 8000; 
123; 3; 3; 3; 3; 3; 3500; 
567; 6; 1; 1; 1; 5; 3215; 
567; 4; 2; 2; 2; 8; 6542; 
567; 4; 3; 3; 3; 3; 9878; 
123; 1; 1; 1; 1; 5; 5000; 
123; 2; 2; 2; 2; 8; 8000; 
123; 3; 3; 3; 3; 3; 3500; 
567; 6; 1; 1; 1; 5; 3215; 
567; 4; 2; 2; 2; 8; 6542; 
567; 4; 3; 3; 3; 3; 9878; 
